ENSMUSG00000083764	ENSMUST00000118450
ENSMUSG00000035420	ENSMUST00000039121
ENSMUSG00000070074	ENSMUST00000093566
ENSMUSG00000070075	ENSMUST00000093567
ENSMUSG00000070076	ENSMUST00000093568
ENSMUSG00000070077	ENSMUST00000093569
ENSMUSG00000070071	ENSMUST00000093563
ENSMUSG00000070073	ENSMUST00000093565
ENSMUSG00000033862	ENSMUST00000036880
ENSMUSG00000044534	ENSMUST00000050327
ENSMUSG00000108439	ENSMUST00000048102
ENSMUSG00000093857	ENSMUST00000178747
ENSMUSG00000068129	ENSMUST00000089200
ENSMUSG00000083763	ENSMUST00000119501
ENSMUSG00000075165	ENSMUST00000099868
ENSMUSG00000075164	ENSMUST00000099867
ENSMUSG00000075167	ENSMUST00000099870
ENSMUSG00000075166	ENSMUST00000099869
ENSMUSG00000075161	ENSMUST00000099863
ENSMUSG00000075160	ENSMUST00000099862
ENSMUSG00000075163	ENSMUST00000099865
ENSMUSG00000075162	ENSMUST00000099864
ENSMUSG00000075168	ENSMUST00000099871
ENSMUSG00000108434	ENSMUST00000206763
ENSMUSG00000044285	ENSMUST00000111388
ENSMUSG00000044286	ENSMUST00000052560
ENSMUSG00000083484	ENSMUST00000120644
ENSMUSG00000087577	ENSMUST00000133644
ENSMUSG00000087571	ENSMUST00000154188
ENSMUSG00000087570	ENSMUST00000154654
ENSMUSG00000058568	ENSMUST00000078879
ENSMUSG00000058569	ENSMUST00000109905
ENSMUSG00000058567	ENSMUST00000075609
ENSMUSG00000073862	ENSMUST00000098100
ENSMUSG00000021583	ENSMUST00000169114
ENSMUSG00000073867	ENSMUST00000098110
ENSMUSG00000079800	ENSMUST00000096862
ENSMUSG00000021585	ENSMUST00000065629
ENSMUSG00000079808	ENSMUST00000115924
ENSMUSG00000084065	ENSMUST00000117062
ENSMUSG00000086192	ENSMUST00000141023
ENSMUSG00000086190	ENSMUST00000130943
ENSMUSG00000086191	ENSMUST00000155531
ENSMUSG00000086197	ENSMUST00000154367
ENSMUSG00000086194	ENSMUST00000148174
ENSMUSG00000086195	ENSMUST00000151704
ENSMUSG00000070072	ENSMUST00000093564
ENSMUSG00000081841	ENSMUST00000119445
ENSMUSG00000059213	ENSMUST00000075444
ENSMUSG00000093362	ENSMUST00000175621
ENSMUSG00000075833	ENSMUST00000101885
ENSMUSG00000075832	ENSMUST00000101884
ENSMUSG00000106514	ENSMUST00000199897
ENSMUSG00000075837	ENSMUST00000082795
ENSMUSG00000070078	ENSMUST00000093570
ENSMUSG00000086225	ENSMUST00000118688
